# Customer personas — assegnazione dei POD,,
# Ogni riga rappresenta un POD del campione rappresentativo di 1.000 clienti. Le personas derivano dal modello K-means A_behavioral con K=5. Le denominazioni descrivono il comportamento medio del cluster e non la tipologia contrattuale del cliente.,,
pod,cluster,persona
166,3,"Alto consumo, carico di base continuo e forte picco serale"
167,1,"Consumo medio, regolare e con picco serale"
168,1,"Consumo medio, regolare e con picco serale"
169,1,"Consumo medio, regolare e con picco serale"
170,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
171,1,"Consumo medio, regolare e con picco serale"
172,1,"Consumo medio, regolare e con picco serale"
173,1,"Consumo medio, regolare e con picco serale"
174,1,"Consumo medio, regolare e con picco serale"
175,3,"Alto consumo, carico di base continuo e forte picco serale"
176,1,"Consumo medio, regolare e con picco serale"
177,1,"Consumo medio, regolare e con picco serale"
178,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
179,1,"Consumo medio, regolare e con picco serale"
180,1,"Consumo medio, regolare e con picco serale"
181,5,Basso consumo e attività intermittente
182,1,"Consumo medio, regolare e con picco serale"
183,1,"Consumo medio, regolare e con picco serale"
184,1,"Consumo medio, regolare e con picco serale"
185,1,"Consumo medio, regolare e con picco serale"
186,1,"Consumo medio, regolare e con picco serale"
187,1,"Consumo medio, regolare e con picco serale"
188,1,"Consumo medio, regolare e con picco serale"
189,5,Basso consumo e attività intermittente
190,1,"Consumo medio, regolare e con picco serale"
191,1,"Consumo medio, regolare e con picco serale"
192,1,"Consumo medio, regolare e con picco serale"
193,1,"Consumo medio, regolare e con picco serale"
194,1,"Consumo medio, regolare e con picco serale"
195,1,"Consumo medio, regolare e con picco serale"
196,1,"Consumo medio, regolare e con picco serale"
197,1,"Consumo medio, regolare e con picco serale"
198,5,Basso consumo e attività intermittente
199,3,"Alto consumo, carico di base continuo e forte picco serale"
200,1,"Consumo medio, regolare e con picco serale"
201,1,"Consumo medio, regolare e con picco serale"
202,1,"Consumo medio, regolare e con picco serale"
203,1,"Consumo medio, regolare e con picco serale"
204,1,"Consumo medio, regolare e con picco serale"
205,1,"Consumo medio, regolare e con picco serale"
206,1,"Consumo medio, regolare e con picco serale"
207,5,Basso consumo e attività intermittente
208,1,"Consumo medio, regolare e con picco serale"
209,1,"Consumo medio, regolare e con picco serale"
210,1,"Consumo medio, regolare e con picco serale"
211,1,"Consumo medio, regolare e con picco serale"
212,1,"Consumo medio, regolare e con picco serale"
213,1,"Consumo medio, regolare e con picco serale"
214,1,"Consumo medio, regolare e con picco serale"
215,1,"Consumo medio, regolare e con picco serale"
216,1,"Consumo medio, regolare e con picco serale"
217,1,"Consumo medio, regolare e con picco serale"
218,1,"Consumo medio, regolare e con picco serale"
219,1,"Consumo medio, regolare e con picco serale"
220,1,"Consumo medio, regolare e con picco serale"
221,1,"Consumo medio, regolare e con picco serale"
222,1,"Consumo medio, regolare e con picco serale"
223,1,"Consumo medio, regolare e con picco serale"
224,1,"Consumo medio, regolare e con picco serale"
225,1,"Consumo medio, regolare e con picco serale"
226,1,"Consumo medio, regolare e con picco serale"
227,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
228,1,"Consumo medio, regolare e con picco serale"
229,1,"Consumo medio, regolare e con picco serale"
230,1,"Consumo medio, regolare e con picco serale"
231,1,"Consumo medio, regolare e con picco serale"
232,1,"Consumo medio, regolare e con picco serale"
233,1,"Consumo medio, regolare e con picco serale"
234,1,"Consumo medio, regolare e con picco serale"
235,1,"Consumo medio, regolare e con picco serale"
236,1,"Consumo medio, regolare e con picco serale"
237,1,"Consumo medio, regolare e con picco serale"
238,1,"Consumo medio, regolare e con picco serale"
239,1,"Consumo medio, regolare e con picco serale"
240,1,"Consumo medio, regolare e con picco serale"
241,1,"Consumo medio, regolare e con picco serale"
242,1,"Consumo medio, regolare e con picco serale"
243,1,"Consumo medio, regolare e con picco serale"
244,1,"Consumo medio, regolare e con picco serale"
245,5,Basso consumo e attività intermittente
246,1,"Consumo medio, regolare e con picco serale"
247,1,"Consumo medio, regolare e con picco serale"
248,1,"Consumo medio, regolare e con picco serale"
249,1,"Consumo medio, regolare e con picco serale"
250,1,"Consumo medio, regolare e con picco serale"
251,1,"Consumo medio, regolare e con picco serale"
252,1,"Consumo medio, regolare e con picco serale"
253,1,"Consumo medio, regolare e con picco serale"
254,1,"Consumo medio, regolare e con picco serale"
255,1,"Consumo medio, regolare e con picco serale"
256,1,"Consumo medio, regolare e con picco serale"
257,1,"Consumo medio, regolare e con picco serale"
258,1,"Consumo medio, regolare e con picco serale"
259,1,"Consumo medio, regolare e con picco serale"
260,5,Basso consumo e attività intermittente
261,1,"Consumo medio, regolare e con picco serale"
262,1,"Consumo medio, regolare e con picco serale"
263,1,"Consumo medio, regolare e con picco serale"
264,1,"Consumo medio, regolare e con picco serale"
265,1,"Consumo medio, regolare e con picco serale"
266,1,"Consumo medio, regolare e con picco serale"
267,1,"Consumo medio, regolare e con picco serale"
268,1,"Consumo medio, regolare e con picco serale"
269,1,"Consumo medio, regolare e con picco serale"
270,1,"Consumo medio, regolare e con picco serale"
271,3,"Alto consumo, carico di base continuo e forte picco serale"
272,1,"Consumo medio, regolare e con picco serale"
273,1,"Consumo medio, regolare e con picco serale"
274,5,Basso consumo e attività intermittente
275,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
276,1,"Consumo medio, regolare e con picco serale"
277,1,"Consumo medio, regolare e con picco serale"
278,1,"Consumo medio, regolare e con picco serale"
279,3,"Alto consumo, carico di base continuo e forte picco serale"
280,1,"Consumo medio, regolare e con picco serale"
281,1,"Consumo medio, regolare e con picco serale"
282,5,Basso consumo e attività intermittente
283,1,"Consumo medio, regolare e con picco serale"
284,1,"Consumo medio, regolare e con picco serale"
285,3,"Alto consumo, carico di base continuo e forte picco serale"
286,1,"Consumo medio, regolare e con picco serale"
287,1,"Consumo medio, regolare e con picco serale"
288,1,"Consumo medio, regolare e con picco serale"
289,1,"Consumo medio, regolare e con picco serale"
290,1,"Consumo medio, regolare e con picco serale"
291,1,"Consumo medio, regolare e con picco serale"
292,3,"Alto consumo, carico di base continuo e forte picco serale"
293,1,"Consumo medio, regolare e con picco serale"
294,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
295,5,Basso consumo e attività intermittente
296,1,"Consumo medio, regolare e con picco serale"
297,1,"Consumo medio, regolare e con picco serale"
298,1,"Consumo medio, regolare e con picco serale"
299,1,"Consumo medio, regolare e con picco serale"
300,1,"Consumo medio, regolare e con picco serale"
301,5,Basso consumo e attività intermittente
302,1,"Consumo medio, regolare e con picco serale"
303,1,"Consumo medio, regolare e con picco serale"
304,1,"Consumo medio, regolare e con picco serale"
305,1,"Consumo medio, regolare e con picco serale"
306,1,"Consumo medio, regolare e con picco serale"
307,1,"Consumo medio, regolare e con picco serale"
308,1,"Consumo medio, regolare e con picco serale"
309,5,Basso consumo e attività intermittente
310,1,"Consumo medio, regolare e con picco serale"
311,3,"Alto consumo, carico di base continuo e forte picco serale"
312,1,"Consumo medio, regolare e con picco serale"
313,1,"Consumo medio, regolare e con picco serale"
314,1,"Consumo medio, regolare e con picco serale"
315,1,"Consumo medio, regolare e con picco serale"
316,1,"Consumo medio, regolare e con picco serale"
317,1,"Consumo medio, regolare e con picco serale"
318,1,"Consumo medio, regolare e con picco serale"
319,1,"Consumo medio, regolare e con picco serale"
320,1,"Consumo medio, regolare e con picco serale"
321,1,"Consumo medio, regolare e con picco serale"
322,1,"Consumo medio, regolare e con picco serale"
323,1,"Consumo medio, regolare e con picco serale"
324,5,Basso consumo e attività intermittente
325,1,"Consumo medio, regolare e con picco serale"
326,1,"Consumo medio, regolare e con picco serale"
327,5,Basso consumo e attività intermittente
328,5,Basso consumo e attività intermittente
329,1,"Consumo medio, regolare e con picco serale"
330,1,"Consumo medio, regolare e con picco serale"
331,1,"Consumo medio, regolare e con picco serale"
332,1,"Consumo medio, regolare e con picco serale"
333,1,"Consumo medio, regolare e con picco serale"
334,1,"Consumo medio, regolare e con picco serale"
335,1,"Consumo medio, regolare e con picco serale"
336,1,"Consumo medio, regolare e con picco serale"
337,1,"Consumo medio, regolare e con picco serale"
338,1,"Consumo medio, regolare e con picco serale"
339,1,"Consumo medio, regolare e con picco serale"
340,1,"Consumo medio, regolare e con picco serale"
341,1,"Consumo medio, regolare e con picco serale"
342,1,"Consumo medio, regolare e con picco serale"
343,1,"Consumo medio, regolare e con picco serale"
344,1,"Consumo medio, regolare e con picco serale"
345,1,"Consumo medio, regolare e con picco serale"
346,5,Basso consumo e attività intermittente
347,1,"Consumo medio, regolare e con picco serale"
348,1,"Consumo medio, regolare e con picco serale"
349,1,"Consumo medio, regolare e con picco serale"
350,5,Basso consumo e attività intermittente
351,1,"Consumo medio, regolare e con picco serale"
352,1,"Consumo medio, regolare e con picco serale"
353,1,"Consumo medio, regolare e con picco serale"
354,1,"Consumo medio, regolare e con picco serale"
355,1,"Consumo medio, regolare e con picco serale"
356,1,"Consumo medio, regolare e con picco serale"
357,1,"Consumo medio, regolare e con picco serale"
358,5,Basso consumo e attività intermittente
359,1,"Consumo medio, regolare e con picco serale"
360,5,Basso consumo e attività intermittente
361,1,"Consumo medio, regolare e con picco serale"
362,1,"Consumo medio, regolare e con picco serale"
363,1,"Consumo medio, regolare e con picco serale"
364,1,"Consumo medio, regolare e con picco serale"
365,1,"Consumo medio, regolare e con picco serale"
366,1,"Consumo medio, regolare e con picco serale"
367,1,"Consumo medio, regolare e con picco serale"
368,1,"Consumo medio, regolare e con picco serale"
369,1,"Consumo medio, regolare e con picco serale"
370,1,"Consumo medio, regolare e con picco serale"
371,1,"Consumo medio, regolare e con picco serale"
372,1,"Consumo medio, regolare e con picco serale"
373,4,Consumo quasi nullo e profilo non interpretabile
374,1,"Consumo medio, regolare e con picco serale"
375,1,"Consumo medio, regolare e con picco serale"
376,1,"Consumo medio, regolare e con picco serale"
377,1,"Consumo medio, regolare e con picco serale"
378,1,"Consumo medio, regolare e con picco serale"
379,1,"Consumo medio, regolare e con picco serale"
380,1,"Consumo medio, regolare e con picco serale"
381,1,"Consumo medio, regolare e con picco serale"
382,1,"Consumo medio, regolare e con picco serale"
383,1,"Consumo medio, regolare e con picco serale"
384,1,"Consumo medio, regolare e con picco serale"
385,1,"Consumo medio, regolare e con picco serale"
386,1,"Consumo medio, regolare e con picco serale"
387,1,"Consumo medio, regolare e con picco serale"
388,1,"Consumo medio, regolare e con picco serale"
389,1,"Consumo medio, regolare e con picco serale"
390,1,"Consumo medio, regolare e con picco serale"
391,1,"Consumo medio, regolare e con picco serale"
392,1,"Consumo medio, regolare e con picco serale"
393,1,"Consumo medio, regolare e con picco serale"
394,1,"Consumo medio, regolare e con picco serale"
395,1,"Consumo medio, regolare e con picco serale"
396,1,"Consumo medio, regolare e con picco serale"
397,3,"Alto consumo, carico di base continuo e forte picco serale"
398,1,"Consumo medio, regolare e con picco serale"
399,1,"Consumo medio, regolare e con picco serale"
400,1,"Consumo medio, regolare e con picco serale"
401,1,"Consumo medio, regolare e con picco serale"
402,1,"Consumo medio, regolare e con picco serale"
403,1,"Consumo medio, regolare e con picco serale"
404,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
405,1,"Consumo medio, regolare e con picco serale"
406,5,Basso consumo e attività intermittente
407,1,"Consumo medio, regolare e con picco serale"
408,5,Basso consumo e attività intermittente
409,1,"Consumo medio, regolare e con picco serale"
410,1,"Consumo medio, regolare e con picco serale"
411,1,"Consumo medio, regolare e con picco serale"
412,1,"Consumo medio, regolare e con picco serale"
413,1,"Consumo medio, regolare e con picco serale"
414,1,"Consumo medio, regolare e con picco serale"
415,1,"Consumo medio, regolare e con picco serale"
416,1,"Consumo medio, regolare e con picco serale"
417,1,"Consumo medio, regolare e con picco serale"
418,1,"Consumo medio, regolare e con picco serale"
419,1,"Consumo medio, regolare e con picco serale"
420,5,Basso consumo e attività intermittente
421,5,Basso consumo e attività intermittente
422,1,"Consumo medio, regolare e con picco serale"
423,1,"Consumo medio, regolare e con picco serale"
424,1,"Consumo medio, regolare e con picco serale"
425,1,"Consumo medio, regolare e con picco serale"
426,5,Basso consumo e attività intermittente
427,1,"Consumo medio, regolare e con picco serale"
428,1,"Consumo medio, regolare e con picco serale"
429,1,"Consumo medio, regolare e con picco serale"
430,1,"Consumo medio, regolare e con picco serale"
431,1,"Consumo medio, regolare e con picco serale"
432,1,"Consumo medio, regolare e con picco serale"
433,1,"Consumo medio, regolare e con picco serale"
434,1,"Consumo medio, regolare e con picco serale"
435,1,"Consumo medio, regolare e con picco serale"
436,1,"Consumo medio, regolare e con picco serale"
437,1,"Consumo medio, regolare e con picco serale"
438,1,"Consumo medio, regolare e con picco serale"
439,1,"Consumo medio, regolare e con picco serale"
440,1,"Consumo medio, regolare e con picco serale"
441,1,"Consumo medio, regolare e con picco serale"
442,5,Basso consumo e attività intermittente
443,1,"Consumo medio, regolare e con picco serale"
444,1,"Consumo medio, regolare e con picco serale"
445,1,"Consumo medio, regolare e con picco serale"
446,1,"Consumo medio, regolare e con picco serale"
447,1,"Consumo medio, regolare e con picco serale"
448,1,"Consumo medio, regolare e con picco serale"
449,1,"Consumo medio, regolare e con picco serale"
450,1,"Consumo medio, regolare e con picco serale"
451,1,"Consumo medio, regolare e con picco serale"
452,1,"Consumo medio, regolare e con picco serale"
453,5,Basso consumo e attività intermittente
454,1,"Consumo medio, regolare e con picco serale"
455,1,"Consumo medio, regolare e con picco serale"
456,5,Basso consumo e attività intermittente
457,1,"Consumo medio, regolare e con picco serale"
458,1,"Consumo medio, regolare e con picco serale"
459,1,"Consumo medio, regolare e con picco serale"
460,1,"Consumo medio, regolare e con picco serale"
461,1,"Consumo medio, regolare e con picco serale"
462,1,"Consumo medio, regolare e con picco serale"
463,1,"Consumo medio, regolare e con picco serale"
464,1,"Consumo medio, regolare e con picco serale"
465,1,"Consumo medio, regolare e con picco serale"
466,1,"Consumo medio, regolare e con picco serale"
467,1,"Consumo medio, regolare e con picco serale"
468,1,"Consumo medio, regolare e con picco serale"
469,1,"Consumo medio, regolare e con picco serale"
470,1,"Consumo medio, regolare e con picco serale"
471,1,"Consumo medio, regolare e con picco serale"
472,1,"Consumo medio, regolare e con picco serale"
473,1,"Consumo medio, regolare e con picco serale"
474,1,"Consumo medio, regolare e con picco serale"
475,1,"Consumo medio, regolare e con picco serale"
476,1,"Consumo medio, regolare e con picco serale"
477,1,"Consumo medio, regolare e con picco serale"
478,1,"Consumo medio, regolare e con picco serale"
479,1,"Consumo medio, regolare e con picco serale"
480,1,"Consumo medio, regolare e con picco serale"
481,5,Basso consumo e attività intermittente
482,1,"Consumo medio, regolare e con picco serale"
483,1,"Consumo medio, regolare e con picco serale"
484,1,"Consumo medio, regolare e con picco serale"
485,1,"Consumo medio, regolare e con picco serale"
486,5,Basso consumo e attività intermittente
487,1,"Consumo medio, regolare e con picco serale"
488,1,"Consumo medio, regolare e con picco serale"
489,1,"Consumo medio, regolare e con picco serale"
490,1,"Consumo medio, regolare e con picco serale"
491,1,"Consumo medio, regolare e con picco serale"
492,1,"Consumo medio, regolare e con picco serale"
493,1,"Consumo medio, regolare e con picco serale"
494,1,"Consumo medio, regolare e con picco serale"
495,1,"Consumo medio, regolare e con picco serale"
496,1,"Consumo medio, regolare e con picco serale"
497,1,"Consumo medio, regolare e con picco serale"
498,1,"Consumo medio, regolare e con picco serale"
499,1,"Consumo medio, regolare e con picco serale"
500,1,"Consumo medio, regolare e con picco serale"
501,1,"Consumo medio, regolare e con picco serale"
502,1,"Consumo medio, regolare e con picco serale"
503,1,"Consumo medio, regolare e con picco serale"
504,5,Basso consumo e attività intermittente
505,1,"Consumo medio, regolare e con picco serale"
506,1,"Consumo medio, regolare e con picco serale"
507,1,"Consumo medio, regolare e con picco serale"
508,5,Basso consumo e attività intermittente
509,1,"Consumo medio, regolare e con picco serale"
510,1,"Consumo medio, regolare e con picco serale"
511,1,"Consumo medio, regolare e con picco serale"
512,1,"Consumo medio, regolare e con picco serale"
513,1,"Consumo medio, regolare e con picco serale"
514,1,"Consumo medio, regolare e con picco serale"
515,1,"Consumo medio, regolare e con picco serale"
516,1,"Consumo medio, regolare e con picco serale"
517,1,"Consumo medio, regolare e con picco serale"
518,1,"Consumo medio, regolare e con picco serale"
519,1,"Consumo medio, regolare e con picco serale"
520,1,"Consumo medio, regolare e con picco serale"
521,1,"Consumo medio, regolare e con picco serale"
522,1,"Consumo medio, regolare e con picco serale"
523,5,Basso consumo e attività intermittente
524,1,"Consumo medio, regolare e con picco serale"
525,4,Consumo quasi nullo e profilo non interpretabile
526,3,"Alto consumo, carico di base continuo e forte picco serale"
527,1,"Consumo medio, regolare e con picco serale"
528,1,"Consumo medio, regolare e con picco serale"
529,5,Basso consumo e attività intermittente
530,1,"Consumo medio, regolare e con picco serale"
531,1,"Consumo medio, regolare e con picco serale"
532,1,"Consumo medio, regolare e con picco serale"
533,1,"Consumo medio, regolare e con picco serale"
534,1,"Consumo medio, regolare e con picco serale"
535,3,"Alto consumo, carico di base continuo e forte picco serale"
536,5,Basso consumo e attività intermittente
537,1,"Consumo medio, regolare e con picco serale"
538,1,"Consumo medio, regolare e con picco serale"
539,1,"Consumo medio, regolare e con picco serale"
540,1,"Consumo medio, regolare e con picco serale"
541,1,"Consumo medio, regolare e con picco serale"
542,1,"Consumo medio, regolare e con picco serale"
543,1,"Consumo medio, regolare e con picco serale"
544,1,"Consumo medio, regolare e con picco serale"
545,1,"Consumo medio, regolare e con picco serale"
546,1,"Consumo medio, regolare e con picco serale"
547,1,"Consumo medio, regolare e con picco serale"
548,1,"Consumo medio, regolare e con picco serale"
549,1,"Consumo medio, regolare e con picco serale"
550,1,"Consumo medio, regolare e con picco serale"
551,1,"Consumo medio, regolare e con picco serale"
552,1,"Consumo medio, regolare e con picco serale"
553,1,"Consumo medio, regolare e con picco serale"
554,3,"Alto consumo, carico di base continuo e forte picco serale"
555,1,"Consumo medio, regolare e con picco serale"
556,1,"Consumo medio, regolare e con picco serale"
557,1,"Consumo medio, regolare e con picco serale"
558,1,"Consumo medio, regolare e con picco serale"
559,1,"Consumo medio, regolare e con picco serale"
560,2,"Consumo prevalentemente diurno, variabile e con doppio picco"
561,1,"Consumo medio, regolare e con picco serale"
562,1,"Consumo medio, regolare e con picco serale"
563,1,"Consumo medio, regolare e con picco serale"
564,5,Basso consumo e attività intermittente
565,1,"Consumo medio, regolare e con picco serale"
566,1,"Consumo medio, regolare e con picco serale"
567,1,"Consumo medio, regolare e con picco serale"
568,1,"Consumo medio, regolare e con picco serale"
569,1,"Consumo medio, regolare e con picco serale"
570,1,"Consumo medio, regolare e con picco serale"
571,1,"Consumo medio, regolare e con picco serale"
572,1,"Consumo medio, regolare e con picco serale"
573,1,"Consumo medio, regolare e con picco serale"
574,1,"Consumo medio, regolare e con picco serale"
575,1,"Consumo medio, regolare e con picco serale"
576,1,"Consumo medio, regolare e con picco serale"
577,1,"Consumo medio, regolare e con picco serale"
578,4,Consumo quasi nullo e profilo non interpretabile
579,1,"Consumo medio, regolare e con picco serale"
580,1,"Consumo medio, regolare e con picco serale"
581,1,"Consumo medio, regolare e con picco serale"
582,1,"Consumo medio, regolare e con picco serale"
583,1,"Consumo medio, regolare e con picco serale"
584,1,"Consumo medio, regolare e con picco serale"
585,1,"Consumo medio, regolare e con picco serale"
586,1,"Consumo medio, regolare e con picco serale"
587,1,"Consumo medio, regolare e con picco serale"
588,5,Basso consumo e attività intermittente
589,1,"Consumo medio, regolare e con picco serale"
590,1,"Consumo medio, regolare e con picco serale"
591,1,"Consumo medio, regolare e con picco serale"
592,1,"Consumo medio, regolare e con picco serale"
593,5,Basso consumo e attività intermittente
594,1,"Consumo medio, regolare e con picco serale"
